"d_r_uuid";"dws";"dns";"so";"version";"license_id"
"9c16dba1-4a5e-40e5-a53c-86749221ac82";"ea2f96bc718059be754cbf345946c1e8";"3fe69f7a8cbe753e2a1d92bee203c4f3";"d41d8cd98f00b204e9800998ecf8427e";"Additional Versions";30
"9c16dba1-4a5e-40e5-a53c-86749221ac82";"ea2f96bc718059be754cbf345946c1e8";"3fe69f7a8cbe753e2a1d92bee203c4f3";"d41d8cd98f00b204e9800998ecf8427e";"Additional Versions";22
"9c16dba1-4a5e-40e5-a53c-86749221ac82";"ea2f96bc718059be754cbf345946c1e8";"3fe69f7a8cbe753e2a1d92bee203c4f3";"d41d8cd98f00b204e9800998ecf8427e";"Additional Versions";34
"9c16dba1-4a5e-40e5-a53c-86749221ac82";"ea2f96bc718059be754cbf345946c1e8";"3fe69f7a8cbe753e2a1d92bee203c4f3";"d41d8cd98f00b204e9800998ecf8427e";"Additional Versions";11
"9c16dba1-4a5e-40e5-a53c-86749221ac82";"ea2f96bc718059be754cbf345946c1e8";"3fe69f7a8cbe753e2a1d92bee203c4f3";"d41d8cd98f00b204e9800998ecf8427e";"Additional Versions";31
"a1b9f235-3cca-4bc9-af97-44f925192a30";"ec86b645cae60ed8a77d1751a38af855";"b23896fe5fb991975ecc62cb83bf40af";"d41d8cd98f00b204e9800998ecf8427e";"3.1.5.0";45
"ef29a0a1-85ea-4734-bd14-ac12b4d80a24";"ed500a60fd8836a2e5673fc031433ab4";"285a2fbd74de4c03f69cd0047b668944";"d41d8cd98f00b204e9800998ecf8427e";"6.3.21";30
"3dec9166-bd9d-45d3-acae-9c78adb1a684";"f2e0425f79aaa382cd0b3b473a005687";"f87fd01ff9f2981f902d47fd60074cca";"65ae7673f1a9dc5d19859a18114a8d88";"2.15.2";45
"12acb679-7a7f-460f-8380-3e4cb052e2e9";"f39706f44f6f6e860af024167cdffc6d";"6d9515d964069ede4e82df18946343d3";"d41d8cd98f00b204e9800998ecf8427e";"rel/v2.1.0-M3p06";45
"29cad3e1-aa02-4ae2-bc89-f1fdbfd9709f";"f69816ecdd186a421bfbddaba3d5c463";"7c1e207055dce2dc3a15ce66816cf9cd";"4d307d4d494e814500b5b743f584e584";"10.0.0.CR5";11
"317aad06-7ed0-4744-a578-d3e0a9657ed1";"9ae8358978aee6b3c61625fd0e071e0d";"7d4e872f7782b4f74c5ad85c7197aa5e";"d41d8cd98f00b204e9800998ecf8427e";"1.4.2+20140406";34
